date,weekday,winning_numbers,powerball,powerplay,jackpot
1/2/2021,Sat,3-4-11-41-67,5,2,384000000
1/6/2021,Wed,1-20-22-60-66,3,3,410000000
1/9/2021,Sat,14-26-38-45-46,13,2,470000000
1/13/2021,Wed,4-19-23-25-49,14,2,550000000
1/16/2021,Sat,14-20-39-65-67,2,3,640000000
1/20/2021,Wed,40-53-60-68-69,22,3,730000000
1/23/2021,Sat,5-8-17-27-28,14,3,20000000
1/27/2021,Wed,17-33-35-42-52,9,3,20000000
1/30/2021,Sat,1-2-7-52-61,4,3,30000000
2/3/2021,Wed,5-37-40-64-66,5,3,20000000
2/6/2021,Sat,1-16-48-49-65,8,2,30000000
2/10/2021,Wed,15-39-58-63-67,7,2,42000000
2/13/2021,Sat,20-28-33-63-68,20,2,56000000
2/17/2021,Wed,1-15-21-32-46,1,3,66000000
2/20/2021,Sat,4-8-22-32-58,4,10,78000000
2/24/2021,Wed,4-33-43-53-65,21,3,90000000
2/27/2021,Sat,2-28-31-44-52,18,3,106000000
3/3/2021,Wed,21-40-44-50-55,16,3,123000000
3/6/2021,Sat,11-31-50-52-58,18,4,138000000
3/10/2021,Wed,17-18-37-44-53,18,3,155000000
3/13/2021,Sat,5-11-51-56-61,2,2,169000000
3/17/2021,Wed,34-38-42-61-62,19,2,184000000
3/20/2021,Sat,1-6-22-42-61,4,3,200000000
3/24/2021,Wed,4-9-17-27-38,18,2,220000000
3/27/2021,Sat,6-14-38-39-65,6,3,238000000
3/31/2021,Wed,3-10-44-55-68,24,2,20000000
4/3/2021,Sat,1-12-17-39-53,5,2,32000000
4/7/2021,Wed,27-35-39-51-66,16,5,43000000
4/10/2021,Sat,14-16-23-50-53,3,3,55000000
4/14/2021,Wed,13-30-33-45-61,14,2,67000000
4/17/2021,Sat,10-21-26-41-49,25,2,79000000
4/21/2021,Wed,21-25-32-63-67,6,2,90000000
4/24/2021,Sat,22-36-48-59-61,22,3,104000000
4/28/2021,Wed,16-18-35-39-53,21,3,116000000
5/1/2021,Sat,35-36-47-61-63,3,3,129000000
5/5/2021,Wed,16-23-28-40-63,1,2,142000000
5/8/2021,Sat,12-17-20-21-26,8,3,157000000
5/12/2021,Wed,1-19-20-38-54,17,2,168000000
5/15/2021,Sat,4-10-37-39-69,24,3,183000000
5/19/2021,Wed,11-13-55-56-69,4,2,201000000
5/22/2021,Sat,3-19-27-37-40,8,2,218000000
5/26/2021,Wed,2-8-21-34-62,16,2,236000000
5/29/2021,Sat,11-13-22-27-46,20,2,253000000
6/2/2021,Wed,6-7-11-66-67,19,3,268000000
6/5/2021,Sat,44-52-54-64-69,26,3,286000000
6/9/2021,Wed,19-28-46-50-54,9,2,20000000
6/12/2021,Sat,8-25-34-38-41,10,3,31000000
6/16/2021,Wed,19-29-34-44-50,25,2,40000000
6/19/2021,Sat,4-22-35-38-39,20,2,52000000
6/23/2021,Wed,13-20-40-51-63,1,3,63000000
6/26/2021,Sat,8-31-39-43-60,17,3,75000000
6/30/2021,Wed,24-29-50-65-66,14,4,88000000
7/3/2021,Sat,26-40-41-55-65,24,2,101000000
7/7/2021,Wed,8-21-30-49-57,8,2,113000000
7/10/2021,Sat,1-5-29-54-62,3,2,127000000
7/14/2021,Wed,33-46-52-59-62,10,2,137000000
7/17/2021,Sat,15-22-38-54-66,3,2,150000000
7/21/2021,Wed,27-28-44-67-68,11,2,161000000
7/24/2021,Sat,1-4-11-59-67,10,2,174000000
