date,weekday,winning_numbers,powerball,powerplay,jackpot
1/1/2022,Sat,6-12-39-48-50,7,2,500000000
1/3/2022,Mon,2-13-32-33-48,22,2,540000000
1/5/2022,Wed,6-14-25-33-46,17,2,630000000
1/8/2022,Sat,20-21-36-60-65,13,10,20000000
1/10/2022,Mon,14-17-18-21-27,9,2,27000000
1/12/2022,Wed,12-21-22-30-33,24,4,38000000
1/15/2022,Sat,3-18-37-51-59,13,2,48000000
1/17/2022,Mon,9-24-35-46-65,22,2,53000000
1/19/2022,Wed,11-15-43-55-61,10,3,62000000
1/22/2022,Sat,8-14-33-36-67,17,2,76000000
1/24/2022,Mon,11-29-30-47-53,16,3,82000000
1/26/2022,Wed,4-11-38-49-69,16,3,91000000
1/29/2022,Sat,2-15-38-54-65,11,4,104000000
1/31/2022,Mon,10-15-51-61-69,14,3,113000000
2/2/2022,Wed,18-29-33-62-63,15,3,123000000
2/5/2022,Sat,5-16-27-39-61,24,2,137000000
2/7/2022,Mon,5-15-38-47-65,10,3,147000000
2/9/2022,Wed,2-17-33-51-63,26,2,158000000
2/12/2022,Sat,8-10-21-41-62,7,3,172000000
2/14/2022,Mon,16-25-27-49-55,17,3,183000000
2/16/2022,Wed,22-30-40-42-48,16,2,20000000
2/19/2022,Sat,3-10-15-33-42,11,2,31000000
2/21/2022,Mon,2-36-37-45-69,3,2,37000000
2/23/2022,Wed,6-17-21-35-64,18,2,45000000
2/26/2022,Sat,15-32-36-48-64,19,3,58000000
2/28/2022,Mon,7-21-39-47-55,19,2,65000000
3/2/2022,Wed,19-37-48-61-63,12,2,73000000
3/5/2022,Sat,8-23-37-52-63,13,2,85000000
3/7/2022,Mon,10-43-55-59-67,2,3,90000000
3/9/2022,Wed,13-22-34-51-67,10,2,99000000
3/12/2022,Sat,19-20-37-39-61,8,2,112000000
3/14/2022,Mon,21-28-32-44-49,6,3,124000000
3/16/2022,Wed,3-28-34-35-58,17,2,133000000
3/19/2022,Sat,8-9-18-48-52,6,2,147000000
3/21/2022,Mon,1-15-26-63-65,16,2,156000000
3/23/2022,Wed,31-32-37-38-48,24,2,167000000
3/26/2022,Sat,2-10-50-59-61,6,3,181000000
3/28/2022,Mon,11-18-39-58-62,3,2,195000000
3/30/2022,Wed,3-7-21-31-37,11,3,206000000
4/2/2022,Sat,6-28-47-58-59,18,2,206000000
4/4/2022,Mon,2-32-39-46-69,6,2,231000000
4/6/2022,Wed,6-42-45-47-64,18,3,246000000
4/9/2022,Sat,6-16-31-62-66,18,2,268000000
4/11/2022,Mon,5-7-24-31-34,4,2,288000000
4/13/2022,Wed,14-16-41-63-68,26,2,302000000
4/16/2022,Sat,15-21-32-62-65,26,5,325000000
4/18/2022,Mon,8-33-55-59-62,18,2,348000000
4/20/2022,Wed,20-30-45-55-56,14,2,370000000
4/23/2022,Sat,10-39-47-49-56,8,3,400000000
4/25/2022,Mon,12-18-20-39-61,10,2,421000000
4/27/2022,Wed,11-36-61-62-68,4,2,454000000
4/30/2022,Sat,14-21-37-44-63,1,3,20000000
5/2/2022,Mon,18-27-33-39-44,8,5,27000000
5/4/2022,Wed,37-39-55-63-69,23,2,37000000
5/7/2022,Sat,4-5-6-28-67,10,2,51000000
5/9/2022,Mon,18-30-35-52-56,5,2,59000000
5/11/2022,Wed,5-7-61-63-69,18,2,68000000
5/14/2022,Sat,6-40-41-45-52,9,3,83000000
5/16/2022,Mon,7-15-22-36-64,13,2,90000000
5/18/2022,Wed,40-41-58-64-65,17,3,101000000
5/21/2022,Sat,14-15-25-52-58,11,2,117000000
5/23/2022,Mon,1-33-37-39-42,26,2,125000000
5/25/2022,Wed,19-28-39-42-57,17,3,135000000
5/28/2022,Sat,2-39-50-61-66,15,2,150000000
5/30/2022,Mon,27-28-51-68-69,22,2,157000000
6/1/2022,Wed,11-41-56-57-63,2,2,168000000
6/4/2022,Sat,14-16-36-52-60,16,3,184000000
6/6/2022,Mon,2-10-35-44-46,4,2,198000000
6/8/2022,Wed,22-39-43-62-64,7,4,210000000
6/11/2022,Sat,18-20-26-53-69,5,2,229000000
6/13/2022,Mon,2-27-42-44-51,25,2,243000000
6/15/2022,Wed,19-28-41-42-51,7,2,258000000
6/18/2022,Sat,10-19-40-45-58,25,2,279000000
6/20/2022,Mon,3-44-61-63-69,13,2,296000000
6/22/2022,Wed,6-10-31-48-56,12,3,312000000
6/25/2022,Sat,6-12-20-27-32,4,3,335000000
6/27/2022,Mon,11-13-18-30-37,16,3,346000000
6/29/2022,Wed,8-40-49-58-63,14,3,365000000
7/2/2022,Sat,9-10-37-59-62,26,3,20000000
7/4/2022,Mon,15-16-24-31-56,4,2,26000000
7/6/2022,Wed,32-36-49-62-69,13,2,35000000
7/9/2022,Sat,14-22-42-46-52,24,3,48000000
7/11/2022,Mon,4-26-34-37-52,9,2,56000000
7/13/2022,Wed,22-23-36-47-63,2,2,66000000
7/16/2022,Sat,3-18-23-32-57,21,2,82000000
7/18/2022,Mon,14-34-36-50-58,5,3,89000000
7/20/2022,Wed,10-20-23-49-65,22,3,101000000
7/23/2022,Sat,39-41-54-59-62,12,3,119000000
7/25/2022,Mon,25-37-38-39-65,5,2,130000000
7/27/2022,Wed,1-25-44-55-57,26,2,145000000
7/30/2022,Sat,4-17-57-58-68,12,3,170000000
8/1/2022,Mon,15-21-31-36-65,16,3,187000000
8/3/2022,Wed,9-21-56-57-66,11,2,202000000
8/6/2022,Sat,8-15-46-56-68,3,2,20000000
8/8/2022,Mon,32-45-51-57-58,12,2,26000000
8/10/2022,Wed,29-44-59-61-68,19,2,35000000
8/13/2022,Sat,19-24-35-43-62,2,10,48000000
8/15/2022,Mon,20-24-47-50-63,5,2,56000000
8/17/2022,Wed,23-28-41-50-55,24,2,66000000
8/20/2022,Sat,5-9-11-16-66,7,2,66000000
8/22/2022,Mon,12-27-34-55-67,9,2,90000000
8/24/2022,Wed,6-24-35-37-44,22,4,100000000
8/27/2022,Sat,2-18-56-60-65,14,3,115000000
8/29/2022,Mon,13-36-43-61-69,18,3,124000000
8/31/2022,Wed,7-8-19-24-28,1,2,134000000
9/3/2022,Sat,18-27-49-65-69,9,2,148000000
9/5/2022,Mon,4-7-32-55-64,25,2,159000000
9/7/2022,Wed,3-16-30-33-36,20,3,170000000
9/10/2022,Sat,38-42-56-68-69,4,2,186000000
9/12/2022,Mon,6-14-16-34-66,25,3,193000000
9/14/2022,Wed,9-10-20-22-52,25,3,206000000
9/17/2022,Sat,5-25-36-51-61,1,3,225000000
9/19/2022,Mon,7-15-36-46-67,7,2,238000000
9/21/2022,Wed,6-33-34-45-54,7,2,251000000
9/24/2022,Sat,3-9-21-24-29,14,2,270000000
9/26/2022,Mon,13-20-31-33-59,20,3,285000000
9/28/2022,Wed,6-10-24-33-67,11,3,300000000
10/1/2022,Sat,8-21-22-65-69,26,2,322000000
10/3/2022,Mon,2-16-22-55-63,22,4,336000000
10/5/2022,Wed,26-30-33-37-62,6,2,353000000
10/8/2022,Sat,13-43-53-60-68,5,2,378000000
10/10/2022,Mon,3-6-11-17-22,11,2,401000000
10/12/2022,Wed,14-30-41-42-59,6,5,421000000
10/15/2022,Sat,32-37-40-58-62,15,5,454000000
10/17/2022,Mon,19-30-36-46-60,25,3,480000000
10/19/2022,Wed,6-8-15-27-42,10,3,508000000
10/22/2022,Sat,19-25-48-55-60,18,2,580000000
10/24/2022,Mon,18-23-35-45-54,16,4,625000000
10/26/2022,Wed,19-36-37-46-56,24,2,700000000
10/29/2022,Sat,19-31-40-46-57,23,3,825000000
10/31/2022,Mon,13-19-36-39-59,13,3,1000000000
11/2/2022,Wed,2-11-22-35-60,23,2,1.20E+11
